# dur|respond|prescript
# respond: 1=requires button press, 0=info only
-|1|HAVE ALL OF YOUR SINNERS TARGET AN ENEMY WITH THE LOWEST HEALTH
-|1|SINNERS WITH THE HIGHEST SPEED, TARGET THE SLOWEST ENEMY SLOT
-|1|SINNERS WHO ROLLED EVEN-NUMBERED SPEED,CAN ONLY DEAL DAMAGE TO ODD-NUMBERED SLOTS
-|1|SINNERS WHO ROLLED ODD-NUMBERED SPEED,CANNOT DEAL DAMAGE TO EVEN-NUMBERED SLOTS
-|1|DON'T LET A SINNER TAKE MORE THAN 20 DAMAGE THIS TURN
-|1|HAVE YOUR FASTEST SINNERS CLASH WITH THE SLOWEST ENEMY SLOT
-|1|HAVE ALL OF YOUR SINNERS TARGET A SINGLE SLOT
-|1|USE WINRATE COMMAND THIS TURN
-|1|USE DAMAGE COMMAND THIS TURN
-|1|ACTIVATE A ABSOLUTE RESONANCE THIS TURN
-|1|DON'T USE ANY SKILL_3 THIS TURN
-|1|HAVE A SINNER TAKE DAMAGE THIS TURN
-|1|USE AN AOE EGO AND HAVE IT ONLY DAMAGE ONE ENEMY OR ONE PART
-|1|INFLICT FIVE DIFFERENT DEBUFFS NEXT TURN
-|1|HAVE ALL OF YOUR SINNERS USE A DEFENSE SKILL
-|1|ACTIVATE A RESONANCE PASSIVE THIS TURN
-|1|DEAL AN OVERALL 100 DAMAGE THIS TURN
-|1|USE AN E.G.O SKILL THIS TURN
-|1|DON'T CLASH WITH ANY OF YOUR SINNERS
-|1|DONT'T KILL/STAGGER ANY ENEMIES THIS TURN
-|1|REPEAT THE LAST PRESCRIPT
-|1|ATTACK WITH SINNERS WITH SPEED TOTALING NO GREATER THAN 14
-|1|STAGGER, PART_BREAK, OR DEAL 500 DAMAGE TO AN ENEMY THIS TURN
-|1|SINNERS WITH SPEED LOWER OR EQUAL TO 'E', USE AN EGO SKILL
-|1|CHAIN ATLEAST 3 SKILL SLOTS WITH THE SAME SIN-AFFINITY
-|1|USE AN EGO THAT BUFFS YOUR ENTIRE TEAM THIS OR NEXT TURN
-|1|GENERATE FOUR UNIQUE SIN RESOURCES THIS TURN
-|1|CHANGE 1 SINNERS RESISTANCE TYPE TO BE FATAL WITH ONE OF THE ENEMIES SKILLS
-|1|HAVE A SINNER CORRODE NEXT TURN
-|1|HAVE A SINNER DIE NEXT TURN
-|1|DON'T USE MORE THAN 2 SKILL_1 THIS TURN
-|1|USE AN OVERCLOCK E.G.O THIS TURN AND HAVE THAT SINNER CORRODE THIS OR NEXT TURN
-|1|DEAL AN OVERALL 300 DAMAGE THIS TURN
-|1|HAVE NO MORE THAN 200 SANITY IN-TOTAL NEXT TURN
-|1|HAVE A TOTAL OF 20 STATUS EFFECT [BUFF/DEBUFFS] ON YOUR SINNERS NEXT TURN
-|1|ACTIVATE AN EGO THAT WOULD DIRECTLY/INDIRECTLY KILL AN ALLY
-|1|USE TEN OR MORE SIN RESOURCES THIS TURN
-|1|USE AN OVERCLOCK E.G.O THIS TURN
