# dur|respond|prescript
# respond: 1=requires button press, 0=info only
10 | 1 | Dye your hair white.
15 | 0 | You must go by rien.
10 | 0 | Larp as the black silence
- | 1 | Infiltrate limbus company.
300 | 1 | Speak only in third person for 5 minutes.
- | 0 | End every sentence with "...as the Prescript wills it." if neccesarry.
- | 0 | Every sentence must start with "Per my orders."
- | 1 | Visit the beach and look at the waves.
- | 1 | Relinquish your past. Dye your hair black with white strands, wear a black suit with golden buttons, and adopt the mannerisms and weapon proficiencies of a Fixer of a certain Library. You are now Rien.
- | 1 | Purchase a picture book. Read exactly {RAND:1-14} pages to Yoshihide, but abruptly close it. Refuse to finish the story under any circumstances, ensuring she remains bound to you in hopes of finishing it together.
- | 1 | When speaking to your apprentice, Sora, use a fond and empathetic tone. Maintain a quiet disposition and only share insights when prompted by those around you.



